 PPID   PID COMM
    1   554 /usr/libexec/nsurlsessiond
    1   555 /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport
    1   556 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted
    1   557 /usr/libexec/neagent
    1   561 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
    1   562 /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
    1   563 /System/Library/PrivateFrameworks/CacheDelete.framework/deleted_helper
    1   564 /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
    1   566 /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
    1   569 /System/Library/PrivateFrameworks/SoftwareUpdate.framework/Resources/SoftwareUpdateNotificationManager.app/Contents/MacOS/SoftwareUpdateNotificationManager
    1   572 /System/Library/PrivateFrameworks/AssistantServices.framework/Versions/A/Support/assistantd
    1   573 /System/Library/PrivateFrameworks/NewDeviceOutreach.framework/ndoagent
    1   574 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
    1   575 /System/Library/PrivateFrameworks/CoreEmbeddedSpeechRecognition.framework/Versions/A/XPCServices/com.apple.siri.embeddedspeech.xpc/Contents/MacOS/com.apple.siri.embeddedspeech
    1   576 /usr/libexec/siriknowledged
    1   578 SafeEjectGPUAgent
    1   579 /System/Library/CoreServices/Menu Extras/SafeEjectGPUExtra.menu/Contents/XPCServices/SafeEjectGPUService.xpc/Contents/MacOS/SafeEjectGPUService
    1   581 /usr/libexec/replayd
    1   582 /usr/libexec/AssetCache/AssetCache
    1   583 /usr/libexec/aned
    1   584 /System/Library/PrivateFrameworks/GeoServices.framework/geodMachServiceBridge
    1   585 /System/Library/PrivateFrameworks/PackageKit.framework/Resources/installd
    1   586 /System/Library/PrivateFrameworks/CoreSymbolication.framework/coresymbolicationd
